Kabupaten;Kecamatan;Desa;Tanggal Pilkades;Status
Rembang;Sumber;Krikilan;16/06/2022;Sudah
Rembang;Sumber;Logede;16/06/2022;Sudah
Temanggung;Bansari;Tlogowero;30/06/2022;Sudah
Temanggung;Bansari;Gunungsari;14/03/2022;Pilkades Antarwaktu
Temanggung;Bansari;Purborejo;30/06/2022;Sudah
Temanggung;Bejen;Prangkokan;23/03/2022;Pilkades Antarwaktu
Temanggung;Bejen;Tanjungsari;30/06/2022;Sudah
Temanggung;Bejen;Kebondalem;30/06/2022;Sudah
Temanggung;Candiroto;Batursari;30/06/2022;Sudah
Temanggung;Candiroto;Sidoharjo;30/06/2022;Sudah
Temanggung;Kedu;Mojotengah;30/06/2022;Sudah
Temanggung;Kedu;Bandunggede;30/06/2022;Sudah
Temanggung;Kedu;Candimulyo;30/06/2022;Sudah
Temanggung;Kandangan;Blimbing;30/06/2022;Sudah
Temanggung;Kledung;Batursari;30/06/2022;Sudah
Temanggung;Kledung;Jambu;30/06/2022;Sudah
Temanggung;Kledung;Tuksari;30/06/2022;Sudah
Temanggung;Kledung;Kledung;30/06/2022;Sudah
Temanggung;Kledung;Tlahab;30/06/2022;Sudah
Temanggung;Kledung;Canggal;30/06/2022;Sudah
Temanggung;Kledung;Petarangan;30/06/2022;Sudah
Temanggung;Kranggan;Kemloko;17/03/2022;Pilkades Antarwaktu
Temanggung;Ngadirejo;Tegalrejo;24/03/2022;Pilkades Antarwaktu
Temanggung;Parakan;Bagusan;30/06/2022;Sudah
Temanggung;Parakan;Mandisari;30/06/2022;Sudah
Temanggung;Pringsurat;Pingit;30/06/2022;Sudah
Temanggung;Pringsurat;Ngipik;30/06/2022;Sudah
Temanggung;Pringsurat;Rejosari;30/06/2022;Sudah
Temanggung;Pringsurat;Soborejo;30/06/2022;Sudah
Temanggung;Selopampang;Tanggulanom;30/06/2022;Sudah
Temanggung;Tembarak;Kemloko;30/06/2022;Sudah
Temanggung;Tembarak;Drono;30/06/2022;Sudah
Temanggung;Tembarak;Gandu;30/06/2022;Sudah
Temanggung;Tembarak;Tawangsari;30/06/2022;Sudah
Temanggung;Tlogomulyo;Legoksari;30/06/2022;Sudah
Temanggung;Tlogomulyo;Tanjungsari;30/06/2022;Sudah
Temanggung;Tlogomulyo;Gedegan;30/06/2022;Sudah
Temanggung;Tlogomulyo;Pagersari;30/06/2022;Sudah
Temanggung;Tretep;Nglarangan;30/03/2022;Pilkades Antarwaktu
Temanggung;Kaloran;Geblog;30/06/2022;Sudah
Temanggung;Tretep;Donorojo;30/06/2022;Sudah
Temanggung;Wonoboyo;Rejosari;30/06/2022;Sudah
Temanggung;Wonoboyo;Tawangsari;30/06/2022;Sudah
Temanggung;Wonoboyo;Wates;30/06/2022;Sudah
Sragen;Masaran;Jirapan;;Belum
Sragen;Masaran;Pilang;;Belum
Sragen;Kalijambe;Keden;;Belum
Sragen;Plupuh;Sidokerto;;Belum
Sragen;Plupuh;Gedongan;;Belum
Sragen;Gemolong;Kalangan;;Belum
Sragen;Tanon;Gabugan;;Belum
Sragen;Sambirejo;Sambirejo;;Belum
Sragen;Gesi;Gesi;;Belum
Sragen;Sidoharjo;Purwosuman;;Belum
Sragen;Sambungmacan;Banyurip;;Belum
